X,Y,codigo_oaci,nome,municipio,icon_url
-39.4511111111111,-12.7658333333333,SSRF,CASTRO ALVES,CASTRO ALVES,./0.png
-47.8402777777778,-24.5316666666667,SSRG,AEROPORTO ESTADUAL DE REGISTRO,REGISTRO,./0.png
-42.9958333333333,-9.51361111111111,SSRK,CAMPO ALEGRE DE LOURDES,CAMPO ALEGRE DE LOURDES,./0.png
-42.8044444444444,-2.75666666666667,SSRS,BARREIRINHAS,BARREIRINHAS,./0.png
-52.0325,-31.3847222222222,SSRU,SÃO LOURENÇO DO SUL,SÃO LOURENÇO DO SUL,./0.png
-54.9252777777778,-30.2775,SSRZ,DÁRIO BRASIL CAPOANO DE OLIVEIRA,ROSÁRIO DO SUL,./0.png
-56.0347222222222,-28.6547222222222,SSSB,SÃO BORJA,SÃO BORJA,./0.png
-52.4122222222222,-29.6841666666667,SSSC,SANTA CRUZ DO SUL,SANTA CRUZ DO SUL,./0.png
-52.5405555555556,-28.8633333333333,SSSD,SOLEDADE,SOLEDADE,./0.png
-54.2677777777778,-30.345,SSSG,SÃO GABRIEL,SÃO GABRIEL,./0.png
-48.5644444444444,-26.2211111111111,SSSS,SÃO FRANCISCO DO SUL,SÃO FRANCISCO DO SUL,./0.png
-54.8422222222222,-29.215,SSST,SANTIAGO,SANTIAGO,./0.png
-51.0138888888889,-23.0619444444444,SSSZ,SERTANÓPOLIS,SERTANÓPOLIS,./0.png
-50.3097222222222,-26.1327777777778,SSTB,TRÊS BARRAS,TRÊS BARRAS,./0.png
-53.3138888888889,-23.7991666666667,SSUM,ORLANDO DE CARVALHO,UMUARAMA,./0.png
-51.0688888888889,-26.2316666666667,SSUV,JOSÉ CLETO,UNIÃO DA VITÓRIA,./0.png
-40.9147222222222,-14.9077777777778,SBVC,GLAUBER DE ANDRADE ROCHA,VITÓRIA DA CONQUISTA,./0.png
-51.1413888888889,-26.9997222222222,SSVI,ÂNGELO PONZONI,VIDEIRA,./0.png
-50.6522222222222,-24.3163888888889,SSVL,TELÊMACO BORBA (SBTL*),TELÊMACO BORBA,./0.png
-51.5677777777778,-28.9355555555556,SSVN,VERANÓPOLIS,VERANÓPOLIS,./0.png
-40.3580555555556,-2.90666666666667,SBJE,COMANDANTE ARISTON PESSOA,CRUZ,./0.png
-53.4591666666667,-30.5494444444444,SSWS,CAÇAPAVA DO SUL,CAÇAPAVA DO SUL,./0.png
-52.8644444444444,-27.9805555555556,SSXD,TOBIAS BACCI,SARANDI,./0.png
-52.3730555555556,-26.8755555555556,SSXX,MUNICIPAL JOÃO WINCKLER,XANXERÊ,./0.png
-54.5222222222222,-27.9088888888889,SSZR,LUIS ALBERTO LEHR,SANTA ROSA,./0.png
-50.1438888888889,-25.1844444444444,SBPG,COMANDANTE ANTÔNIO AMILTON BERALDO,PONTA GROSSA,./0.png
-62.9188888888889,-0.980833333333333,SWBC,BARCELOS,BARCELOS,./0.png
-40.8833333333333,-4.05,SWBE,WALFRIDO SAMITO DE ALMEIDA,SÃO BENEDITO,./0.png
-59.3852777777778,-15.1933333333333,SWBG,ANDRÉ ANTÔNIO MAGGI,PONTES E LACERDA,./0.png
-59.5977777777778,-4.40861111111111,SWBR,BORBA,BORBA,./0.png
-66.8975,-4.87138888888889,SWCA,CARAUARI,CARAUARI,./0.png
-46.7747222222222,-13.0088888888889,SWCB,CAMPOS BELOS,CAMPOS BELOS,./0.png
-64.2516666666667,-12.4216666666667,SWCQ,COSTA MARQUES,COSTA MARQUES,./0.png
-49.6047222222222,-15.3447222222222,SWCZ,CERES,CERES,./0.png
-56.4005555555556,-14.3769444444444,SWDM,DIAMANTINO,DIAMANTINO,./0.png
-46.8477777777778,-11.5952777777778,SWDN,DIANÓPOLIS,DIANÓPOLIS,./0.png
-69.8830555555555,-6.6375,SWEI,EIRUNEPÉ,EIRUNEPÉ,./0.png
-52.2705555555556,-13.5744444444444,SWEK,CANARANA,CANARANA,./0.png
-60.0211111111111,-3.07277777777778,SWFN,FLORES,MANAUS,./0.png
-47.3452777777778,-15.5561111111111,SWFR,FORMOSA,FORMOSA,./0.png
-50.6883333333333,-11.6319444444444,SWFX,SÃO FÉLIX DO ARAGUAIA,SÃO FÉLIX DO ARAGUAIA,./0.png
-49.1333333333333,-11.7394444444444,SWGI,GURUPI,GURUPI,./0.png
-48.2408333333333,-7.22833333333333,SWGN,ARAGUAÍNA,ARAGUAÍNA,./0.png
-52.1522222222222,-14.0194444444444,SWHP,OLHOS D'ÁGUA,ÁGUA BOA,./0.png
-63.0505555555556,-7.53361111111111,SWHT,FRANCISCO CORREA DA CRUZ,HUMAITÁ,./0.png
-69.6947222222222,-2.93361111111111,SWII,IPIRANGA,SANTO ANTÔNIO DO IÇÁ,./0.png
-48.2005555555556,-13.5505555555556,SWIQ,MINAÇU,MINAÇU,./0.png
-58.71,-11.4194444444444,SWJN,JUÍNA,JUÍNA,./0.png
-51.7752777777778,-17.83,SWJW,JATAÍ,JATAÍ,./0.png
-57.6297222222222,-16.0427777777778,SWKC,CÁCERES,CÁCERES,./0.png
-63.1311111111111,-4.13388888888889,SWKO,COARI,COARI,./0.png
-42.6444444444444,-9.08277777777778,SWKQ,SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO,SÃO RAIMUNDO NONATO,./0.png
-47.8994444444444,-18.2169444444444,SWKT,CATALÃO,CATALÃO,./0.png
-64.7838888888889,-7.25027777777778,SWLB,LÁBREA,LÁBREA,./0.png
-50.9561111111111,-17.8347222222222,SWLC,GENERAL LEITE DE CASTRO,RIO VERDE,./0.png
-52.5561111111111,-17.5519444444444,SWME,MINEIROS,MINEIROS,./0.png
-57.7122222222222,-3.35694444444445,SWMW,MAUÉS,MAUÉS,./0.png
-51.0483333333333,-14.9330555555556,SWNH,ARUANÃ,ARUANÃ,./0.png
-67.3122222222222,-8.83361111111111,SWNK,NOVO CAMPO,BOCA DO ACRE,./0.png
-48.4919444444444,-14.4363888888889,SWNQ,NIQUELÂNDIA,NIQUELÂNDIA,./0.png
-56.7672222222222,-14.4836111111111,SWNR,NORTELÂNDIA,NORTELÂNDIA,./0.png
-48.9280555555556,-16.3625,SWNS,ANÁPOLIS,ANÁPOLIS,./0.png
-49.3494444444444,-16.6255555555556,SBNV,AERÓDROMO NACIONAL DE AVIAÇÃO,GOIÂNIA,./0.png
-66.0672222222222,-2.53361111111111,SWOB,FONTE BOA,FONTE BOA,./0.png
-57.3338888888889,-11.5169444444444,SWPG,PORTO DOS GAÚCHOS,PORTO DOS GAÚCHOS,./0.png
-56.7711111111111,-2.66944444444444,SWPI,PARINTINS,PARINTINS,./0.png
-56.6511111111111,-16.2716666666667,SWPK,POCONÉ,POCONÉ,./0.png
-53.3816666666667,-12.1983333333333,SWPL,POSTO LEONARDO VILAS BOAS,GAÚCHA DO NORTE,./0.png
-61.1811111111111,-11.6416666666667,SWPM,PIMENTA BUENO,PIMENTA BUENO,./0.png
-48.3347222222222,-17.3191666666667,SWPR,PIRES DO RIO,PIRES DO RIO,./0.png
-54.3377777777778,-15.5655555555556,SWPY,PRIMAVERA DO LESTE,PRIMAVERA DO LESTE,./0.png
-46.3452777777778,-14.1180555555556,SWPZ,OURIÇANGA DE ABREU,POSSE,./0.png
-63.8580555555556,-8.79361111111111,SWRO,AEROCLUBE DE RONDÔNIA,PORTO VELHO,./0.png
-55.5861111111111,-11.885,SBSI,PRESIDENTE JOÃO BATISTA FIGUEIREDO,SINOP,./0.png
-48.9327777777778,-10.1738888888889,SWTO,PARAÍSO DO TOCANTINS,PARAÍSO DO TOCANTINS,./0.png
-65.0338888888889,-0.416944444444444,SWTP,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,./0.png
-57.4438888888889,-14.6619444444444,SWTS,TANGARÁ DA SERRA,TANGARÁ DA SERRA,./0.png
-46.4005555555556,-12.4338888888889,SWTY,TAGUATINGA,TAGUATINGA,./0.png
-50.2058333333333,-13.3338888888889,SWUA,SÃO MIGUEL DO ARAGUAIA,SÃO MIGUEL DO ARAGUAIA,./0.png
-44.8130555555556,-20.4458333333333,SWUD,DEPUTADO OSWALDO TOLENTINO,CLÁUDIO,./0.png
-47.9686111111111,-16.2616666666667,SWUZ,BRIGADEIRO ARARIPE MACEDO,LUZIÂNIA,./0.png
-51.1405555555556,-9.98111111111111,SWVC,VILA RICA,VILA RICA,./0.png
-49.1572222222222,-13.4044444444444,SWWA,PORANGATU,PORANGATU,./0.png
-49.0911111111111,-14.5447222222222,SWWU,URUAÇU,URUAÇU,./0.png
-54.9527777777778,-10.1702777777778,SWXM,REGIONAL ORLANDO VILLAS BOAS,MATUPÁ,./0.png
-49.7311111111111,-21.6627777777778,SWXQ,LINS,LINS,./0.png
-52.3491666666667,-14.6908333333333,SWXV,XAVANTINA,NOVA XAVANTINA,./0.png
-59.8388888888889,-7.17222222222222,SWYN,APUÍ,APUÍ,./0.png
-47.1658333333333,-23.4269444444444,SBJH,SÃO PAULO CATARINA AEROPORTO EXECUTIVO,SÃO ROQUE,./0.png
-45.64,-22.2727777777778,SJXI,SANTA RITA DO SAPUCAÍ,SANTA RITA DO SAPUCAÍ,./0.png
-50.3583333333333,-27.6341666666667,SNCP,REGIONAL DO PLANALTO SERRANO,CORREIA PINTO,./0.png
